Artist_Accession_Number,Name,DOB,DOD,Gender,Notes,File,Slides,Video,Resume,Artist_Statement,Gallery_Notice,Review,Article,Poster,Folio,CD,Correspondance,Library_Exhibit,
"3","Toribio","1934","","","Author of \"Don't Spit on the Ump!\"","1","","","","","","","","","","","",""
"5","Abboreno, Anthony","1947","","M","","","","","","","","","","","","","",""
"7","Abbot, Katherine Gilbert","1867","","F","","","","","","","","","","","","","",""
"23","Atkins, Abe","1910","","","","1","","","","","","","","","","","",""
"27","Ada, Eugene","","","M","","","","","","","","","","","","","",""
"33","Adams, Laurence","","","M","Possibly: Adams, Lawrence (See Falk: N6536. W56 1999).","","","","","","","","","","","","",""
"37","Adams, Roger","1936","","M","Member of No-Jury Movement","","","","","","","","","","","","",""
"40","Adamsick, Virginia","","","F","","","","","","","","","","","","","",""
"44","Ade, Tim","","","M","","","","","","","","","","","","","",""
"46","Adelsperger, Mary P.","1877","1934","F","Member of Chicago Society of Artists","1","","","","","","","","","","","",""
"54","Agnew, Therese M.","1959","","F","","","","","","","","","","","","","",""
"76","Albert, Fritz","","","M","","","","","","","","","","","","","",""
"78","Albrecht, B.","1960","","","","","","","","","","","","","","","",""
"86","Aleksa, Petras","1926","","","","","","","","","","","","","","","",""
"88","Alexander, Johanna S.","","","F","","","","","","","","","","","","","",""
"92","Alexandersen, Genevieve Constance","","","F","","","","","","","","","","","","","",""
"96","Alfille, Eve. J.","","","F","","1","","","","","","","","","","","",""
"98","Aliot, J.","","","","","","","","","","","","","","","","",""
"99","Alizier, Andre G.","","","M","","","","","","","","","","","","","",""
"105","Allen, Leslie","1954","","","","","","","","","","","","","","","",""
"106","Allen, Maria Enriquez de","1906","","F","A.K.A. Enriquez de Allen, Maria","1","","","","","","","","","","","",""
"107","Allen, Ralph","","","M","","1","","","","","","","","","","","",""
"109","Allen, Sol","","","","","","","","","","","","","","","","",""
"113","Almenraeder, Frederick","1832","","M","","","","","","","","","","","","","",""
"114","Almini, Peter M.","March 21, 1825","","M","b. Linderas, Smaland, Sweden","","","","","","","","","","","","",""
"119","Alt, Lillian","","1955","F","","","","","","","","","","","","","",""
"147","Andersen, Norman","1894","","M","","","","","","","","","","","","","",""
"149","Anderson, Anne","","","F","Member: Chicago Society of Etchers","","","","","","","","","","","","",""
"150","Anderson, Carl J.","","","M","","","","","","","","","","","","","",""
"155","Anderson, Helen","","","F","","","","","","","","","","","","","",""
