Artist_Accession_Number,Name,DOB,DOD,Gender,Notes,File,Slides,Video(s),Resume/Vita,Artist_Statement,Gallery_Notice,Review,Article,Poster,Folio,CD-ROM,Correspondance,Library_Exhibit,,
3,Toribio,1934,NULL,NULL,"Author of ""Don't Spit on the Ump!""",1,0,0,0,0,0,0,0,0,0,0,0,0,,
5,"Abboreno, Anthony",1947,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,"Abbot, Katherine Gilbert",1867,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,"Atkins, Abe",1910,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
27,"Ada, Eugene",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
33,"Adams, Laurence",NULL,NULL,M,"Possibly: Adams, Lawrence (See Falk: N6536. W56 1999).",0,0,0,0,0,0,0,0,0,0,0,0,0,,
37,"Adams, Roger",1936,NULL,M,Member of No-Jury Movement,0,0,0,0,0,0,0,0,0,0,0,0,0,,
40,"Adamsick, Virginia",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
44,"Ade, Tim",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
46,"Adelsperger, Mary P.",1877,1934,F,Member of Chicago Society of Artists,1,0,0,0,0,0,0,0,0,0,0,0,0,,
54,"Agnew, Therese M.",1959,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
76,"Albert, Fritz",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
78,"Albrecht, B.",1960,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
86,"Aleksa, Petras",1926,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
88,"Alexander, Johanna S.",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
92,"Alexandersen, Genevieve Constance",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
96,"Alfille, Eve. J.",NULL,NULL,F,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
98,"Aliot, J.",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
99,"Alizier, Andre G.",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
105,"Allen, Leslie",1954,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
106,"Allen, Maria Enriquez de",1906,NULL,F,"A.K.A. Enriquez de Allen, Maria",1,0,0,0,0,0,0,0,0,0,0,0,0,,
107,"Allen, Ralph",NULL,NULL,M,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
109,"Allen, Sol",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
113,"Almenraeder, Frederick",1832,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
114,"Almini, Peter M.","March 21, 1825",NULL,M,"b. Linderas, Smaland, Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,,
119,"Alt, Lillian",NULL,1955,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
147,"Andersen, Norman",1894,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
149,"Anderson, Anne",NULL,NULL,F,Member: Chicago Society of Etchers,0,0,0,0,0,0,0,0,0,0,0,0,0,,
150,"Anderson, Carl J.",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
155,"Anderson, Helen",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
156,"Anderson, Herbert R.",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
163,"Anderson, Lorraine",1942,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
165,"Anderson, Norman J.",1892,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
175,"Andreen, Axel R.",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
190,"Antrobus, John",1837,1907,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
192,"Apgar, Jean",1949,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
194,"Appel, S.  Blossom",NULL,NULL,NULL,VPA slide collection.,1,1,0,0,0,0,0,0,0,0,0,0,0,,
201,"Archer, Cynthia",1953,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
220,"Arnold, Axel",1871,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
222,"Arnold, Fred Lathrop",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
223,"Arnold, Harry",1884,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
224,"Arnold, Newell Hillis",1906,1988,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
228,"Arnot, Elle",NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
231,"Aronson, Adele Soll",1930,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
234,Around the Palette,NULL,NULL,NULL,First major organization of Jewish artists,0,0,0,0,0,0,0,0,0,0,0,0,0,,
239,"Artingstall, Margaret",1883,1951,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
246,"Asbjornsen, Sigvald",1867,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
248,"Ashack, Arlene",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
251,"Ashley, Helen",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
254,"Ast, Simeon",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
256,"Atkins, H. J.",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
258,"Atkinson, Elizabeth",1949,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
260,"Atkinson, L.C.",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12343,Arts Bridge,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,1,0,0,0,0,0,,
268,"Augius, Paulis",1909,1960,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
269,"Aus, Carol",1868,1934,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
270,"Auslander, Stephen Lloyd",1938,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
273,"Austin, Carl",NULL,NULL,M,Member of the No-Jury Movement,0,0,0,0,0,0,0,0,0,0,0,0,0,,
277,"Avery, Karen",NULL,NULL,F,Studio at Lill Street Art Center;,0,0,0,0,0,0,0,0,0,0,0,0,0,,
278,"Avery, Sam H",1885,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
283,"Axelrod, James",1906,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
293,"Bacon, Edith Jane",1879,1970,F,"Has mural in Kemper Center in Kenosha according to Laurie Bauman, 3/2014.",0,0,0,0,0,0,0,0,0,0,0,0,0,,
298,"Baehr, Francine",1897,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
303,"Bagg, Henry Howard",1852,1928,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
309,"Bailey, LaForce",1893,NULL,NULL,Century of Progress,0,0,0,0,0,0,0,0,0,0,0,0,0,,
311,"Bailey, Robin",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
319,"Albin, Barbara",NULL,NULL,F,see Real People Exhibit (postcard in file),1,0,0,0,0,0,0,0,0,0,0,0,0,,
321,"Allnut, Pamela",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
331,"Baik, Hye Sun",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
338,"Bakke, Brian",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
340,"Bala, Paul",1957,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
344,"Bales, Laura",NULL,NULL,F,Chicago Public Art Group,0,0,0,0,0,0,0,0,0,0,0,0,0,,
359,"Bandura, Natalia",1964,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
368,"Bannon, Laura",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
372,"Banys, Nyole",1934,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
396,"Barnard, Jamey",1958,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
403,"Barnes, Ruby",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
410,"Anderson, Carl A.",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
411,"Anderson, David",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
412,"Askren, Robert",NULL,NULL,M,Worked with Raymond Loewy,0,0,0,0,0,0,0,0,0,0,0,0,0,,
