Artists_Accession_Number,Art_Term
"3","Painting"
"3","Photography"
"4","Watercolor"
"5","Painting"
"6","Photography"
"7","Painting"
"8","Comics"
"9","Drawing"
"9","Painting"
"10","Painting"
"11","Painting"
"12","Performance Art"
"12","Video Art"
"13","Painting"
"15","Painting"
"16","Painting"
"17","Drawing"
"18","Painting"
"19","Murals"
"19","Painting"
"20","Graphics"
"20","Painting"
"20","Printmaking"
"21","Performance Art"
"21","Sculpture"
"22","Jewelry"
"23","Painting"
"24","Painting"
"25","Painting"
"25","Watercolor"
"26","Painting"
"27","Murals"
"28","Painting"
"29","Painting"
"31","Ceramics"
"31","Design"
"31","Jewelry"
"31","Sculpture"
"31","Silversmithing"
"32","Illustration"
"32","Painting"
"34","Photography"
"35","Illustration"
"35","Painting"
"36","Fiber Art"
"37","Painting"
"37","Sculpture"
"38","Design"
"38","Photography"
"39","Comics"
"39","Illustration"
"39","Painting"
"41","Encaustic Painting"
"41","Painting"
"42","Painting"
"43","Sculpture"
"46","Painting"
"46","Sculpture"
"47","Painting"
"48","Sculpture"
"49","Graphics"
"50","Painting"
"51","Painting"
"51","Sculpture"
"52","Weaving"
"53","Photography"
"54","Sculpture"
"55","Painting"
"57","Painting"
"59","Collage"
"59","Painting"
"60","Painting"
"61","Photography"
"63","Marquetry"
"63","Painting"
"64","Furniture"
"65","Weaving"
"66","Sculpture"
"67","Murals"
"67","Painting"
"68","Ceramics"
"68","Fiber Art"
"68","Painting"
"68","Photography"
"68","Printmaking"
"69","Drawing"
"69","Painting"
"70","Painting"
"72","Murals"
"73","Bookbinding"
"73","Printmaking"
"74","Computer Art"
"75","Furniture"
"76","Sculpture"
"78","Performance Art"
"79","Painting"
"81","Painting"
"82","Lithography"
"82","Painting"
"82","Sculpture"
"83","Painting"
"83","Sculpture"
"84","Painting"
"85","Etching"
"85","Painting"
"86","Sculpture"
"88","Painting"
"89","Environmental Art"
"90","Woodcarving"
"91","Collage"
"91","Painting"
"91","Sculpture"
"92","Sculpture"
"93","Painting"
"95","Sculpture"
"96","Jewelry"
"96","Metalwork"
"97","Sculpture"
"97","Textiles"
"98","Painting"
"99","Sculpture"
"100","Painting"
"101","Fashion Design"
"102","Painting"
"103","Photography"
"104","Ceramics"
"105","Painting"
"106","Mixed Media"
"108","Painting"
"108","Watercolor"
"109","Painting"
"111","Painting"
"113","Sculpture"
"114","Painting"
"117","Photography"
"118","Photography"
"119","Painting"
"121","Installation"
"121","Painting"
"121","Sculpture"
"121","Textiles"
"122","Jewelry"
"122","Murals"
"123","Ceramics"
"125","Drawing"
"125","Painting"
"125","Sculpture"
"126","Installation"
"126","Painting"
"126","Photography"
"127","Advertising Design"
"127","Graphics"
"127","Painting"
"127","Sculpture"
"128","Icons"
"129","Illustration"
"130","Painting"
"131","Installation"
"135","Miniatures"
"135","Painting"
"136","Painting"
"136","Printmaking"
"137","Painting"
"137","Printmaking"
"137","Sculpture"
"138","Painting"
"138","Photography"
"139","Origami"
"140","Painting"
"142","Sculpture"
"143","Sculpture"
"144","Drawing"
"144","Painting"
"145","Painting"
"145","Printmaking"
"147","Advertising Design"
"147","Etching"
"147","Illustration"
"148","Painting"
"148","Textiles"
"149","Printmaking"
"150","Painting"
"151","Drawing"
"151","Printmaking"
"151","Watercolor"
"152","Painting"
"153","Art Critic"
"153","Collage"
"153","Drawing"
"153","Painting"
"154","Painting"
"154","Sculpture"
"157","Comics"
"157","Graphics"
"157","Painting"
"157","Printmaking"
"158","Murals"
"158","Painting"
"158","Sculpture"
"159","Painting"
"160","Illustration"
"161","Performance Art"
"162","Design"
"163","Drafting"
"163","Sculpture"
"164","Sculpture"
"165","Etching"
"165","Painting"
"166","Painting"
"166","Photography"
"167","Painting"
"168","Photography"
"169","Sculpture"
"170","Graphics"
"170","Painting"
"170","Printmaking"
"170","Watercolor"
"171","Ceramics"
"171","Murals"
"171","Painting"
"171","Photography"
"171","Sculpture"
"172","Watercolor"
"173","Drawing"
"173","Painting"
"174","Painting"
"175","Painting"
"176","Painting"
"176","Sculpture"
"177","Sculpture"
"178","Painting"
"179","Painting"
"180","Painting"
"181","Textiles"
"182","Fiber Art"
"183","Crafts"
"183","Painting"
"183","Printmaking"
"183","Sculpture"
"183","Theater Design"
"184","Assemblage"
"185","Painting"
"188","Sculpture"
"190","Painting"
"191","Painting"
"191","Sculpture"
"192","Printmaking"
"193","Painting"
"194","Jewelry"
"195","Ceramics"
"196","Fiber Art"
"197","Photography"
"198","Photography"
"199","Mixed Media"
"199","Painting"
"199","Printmaking"
"200","Photography"
"201","Painting"
"201","Printmaking"
"202","Painting"
"202","Printmaking"
"202","Sculpture"
"203","Painting"
"205","Photography"
"206","Mixed Media"
"207","Painting"
"207","Printmaking"
"208","Fiber Art"
"209","Painting"
"210","Sculpture"
"211","Graphics"
"212","Illustration"
"212","Painting"
"212","Printmaking"
"212","Sculpture"
"212","Watercolor"
"213","Drawing"
"213","Mixed Media"
"213","Painting"
"214","Photography"
"215","Photography"
"216","Dollmaking"
"217","Painting"
"218","Photography"
"218","Sculpture"
"219","Photography"
"220","Painting"
"221","Painting"
"222","Painting"
"223","Painting"
"224","Crafts"
"224","Printmaking"
"224","Sculpture"
"225","Painting"
"226","Collage"
"226","Graphics"
"226","Painting"
"227","Stone Carving"
"228","Drawing"
"228","Illustration"
"228","Painting"
"229","Ceramics"
"230","Sculpture"
"231","Graphics"
"232","Photography"
"235","Lithography"
"235","Painting"
"237","Design"
"239","Painting"
"241","Art Critic"
"242","Sculpture"
"243","Painting"
"244","Ceramics"
"245","Photography"
"246","Sculpture"
"247","Mixed Media"
"247","Painting"
"250","Assemblage"
"250","Sculpture"
"251","Sculpture"
"252","Comics"
"252","Painting"
"253","Portraits"
"253","Printmaking"
"254","Painting"
"255","Installation"
"255","Multimedia"
"255","Murals"
"255","Painting"
"256","Painting"
"256","Photography"
"257","Installation"
"258","Painting"
"259","Painting"
"260","Painting"
"261","Sculpture"
"262","Sculpture"
"264","Painting"
"265","Painting"
"265","Printmaking"
"265","Sculpture"
"265","Watercolor"
"266","Etching"
"266","Lithography"
"266","Painting"
"266","Printmaking"
"266","Sculpture"
"267","Sculpture"
"268","Printmaking"
"269","Painting"
"270","Sculpture"
"272","Drawing"
"272","Illustration"
"273","Painting"
"274","Illustration"
"274","Painting"
"274","Watercolor"
"275","Advertising Design"
"275","Drawing"
"275","Graphics"
"276","Painting"
"276","Sculpture"
"277","Ceramics"
"278","Etching"
"278","Painting"
"279","Drawing"
"280","Painting"
"280","Watercolor"
"281","Photography"
"283","Illustration"
"283","Painting"
"284","Painting"
"285","Design"
"285","Illustration"
"285","Murals"
"285","Painting"
"287","Computer Art"
"287","Painting"
"288","Painting"
"289","Painting"
"290","Mixed Media"
"290","Painting"
"291","Comics"
"291","Illustration"
"292","Painting"
"293","Painting"
"294","Glass"
"295","Painting"
"295","Printmaking"
"297","Scratchboard"
"298","Painting"
"299","Bookbinding"
"299","Illustration"
"299","Painting"
"300","Painting"
"301","Etching"
"301","Painting"
"302","Installation"
"302","Painting"
"302","Watercolor"
"303","Painting"
"304","Sculpture"
"305","Fashion Design"
"305","Painting"
"306","Photography"
"307","Photography"
"309","Murals"
"309","Painting"
"310","Painting"
"310","Printmaking"
"310","Sculpture"
"311","Photography"
"312","Painting"
"314","Painting"
"314","Rosemaling"
"315","Painting"
"316","Painting"
"317","Installation"
"317","Multimedia"
"317","Performance Art"
"318","Art Critic"
"318","Collector"
"318","Curator"
"319","Painting"
"320","Painting"
"320","Textiles"
"321","Painting"
"322","Installation"
"322","Mixed Media"
"323","Ceramics"
"323","Sculpture"
"325","Painting"
"327","Painting"
"328","Painting"
"329","Drawing"
"329","Installation"
"329","Multimedia"
"329","Murals"
"329","Painting"
"330","Photography"
"331","Mixed Media"
"332","Graphics"
"332","Painting"
"332","Sculpture"
"332","Stained Glass"
"333","Batik"
"334","Assemblage"
"334","Painting"
"335","Painting"
"336","Painting"
"337","Painting"
"338","Murals"
"339","Painting"
"340","Painting"
"341","Painting"
"342","Drawing"
"342","Papermaking"
"343","Ceramics"
"346","Sculpture"
"347","Sculpture"
"348","Mixed Media"
"348","Sculpture"
"349","Photography"
"350","Painting"
"351","Ceramics"
"351","Printmaking"
"353","Collage"
"353","Sculpture"
"354","Sculpture"
"355","Photography"
"357","Fiber Art"
"358","Mixed Media"
"358","Painting"
"359","Painting"
"360","Bookbinding"
"360","Photography"
"361","Painting"
"363","Photography"
"364","Drawing"
"364","Painting"
"365","Ceramics"
"365","Sculpture"
"366","Enameling"
"366","Jewelry"
"366","Sculpture"
"367","Animation"
"367","Computer Art"
"367","Video Art"
"369","Collage"
"369","Installation"
"369","Photography"
"370","Sculpture"
"371","Fiber Art"
"371","Installation"
"371","Multimedia"
"371","Painting"
"371","Sculpture"
"372","Painting"
"373","Painting"
"374","Sculpture"
"375","Photography"
"377","Basketmaking"
"377","Maskmaking"
"378","Block Printing"
"378","Illustration"
"378","Lithography"
"378","Murals"
"379","Painting"
"380","Painting"
"381","Textiles"
"382","Drawing"
"382","Painting"
"382","Sculpture"
"383","Painting"
"384","Sculpture"
