Artist_Accession_Number,call_number,pages,notes
"226","N6512.5.C55 B654 2007","",""
"226","N6512.5.C55I5","",""
"226","N6535.C5A164 1995","",""
"226","N6536.W56 1999","",""
"226","N6538.N5C42","",""
"226","N6538.N5D48 1990","",""
"226","ND235.C45 B54 2007","",""
"230","N5020.C5C564 1957","",""
"231","N6538.J4Y64 1989","",""
"233","NX427.C4A7","",""
"234","N6538.J4Y64 1989","",""
"235","N6510.F34 1990","",""
"235","N6512.F26 1985","",""
"235","N6530.I4A37 1983","",""
"235","N6530.I4S73","",""
"235","N6536.W56 1999","",""
"235","Z5961.C45B9 1991","",""
"239","N6510.F34 1990","",""
"239","N6512.F26 1985","",""
"239","N6536.W56 1999","",""
"242","NB235.C45N5 2010","",""
"246","N6510.F34 1990","",""
"246","N6512.F26 1985","",""
"246","N6530.I4S73","",""
"246","N6535.C4A34","",""
"246","N6536.W56 1999","",""
"246","NB205.T3 1930","",""
"248","N72.R4N67 1990","",""
"250","NB198.C65 2007","",""
"251","N6510.F34 1990","",""
"251","N6536.W56 1999","",""
"253","ND1311.3.D5","",""
"254","N6510.F34 1990","",""
"254","N6536.W56 1999","",""
"255","N6538.N5A78 2003","",""
"256","N6530.I4S73","",""
"257","N6510.F34 1990","",""
"258","N6535.C5C467 1989","",""
"259","AM7 .A78 2005","",""
"259","N6536.W56 1999","",""
"260","N6510.F34 1990","",""
"260","N6536.W56 1999","",""
"265","N5020.C5C564 1957","",""
"265","N6535.C5C45 2001","",""
"265","N6535.C5C478 1978","",""
"265","N6536.W56 1999","",""
"265","N8354.W66 1986","",""
"265","N9.A87","",""
"265","ND1835.I3W37","",""
"266","N6510.F34 1990","",""
"266","N6512.F26 1985","",""
"266","N6536.W56 1999","",""
"267","N6510.F34 1990","",""
"267","N6512.F26 1985","",""
"267","N6536.W56 1999","",""
"268","LITHUANIAN Z994.L77V46","",""
"269","N6510.F34 1990","",""
"269","N6512.F26 1985","",""
"269","N6536.W56 1999","",""
"270","N6538.J4Y64 1989","",""
"273","N5020.C5C564 1957","",""
"273","N6510.F34 1990","",""
"273","N6536.W56 1999","",""
"274","N5020.C5C564 1957","",""
"274","N6536.W56 1999","",""
"274","NC45.W3","",""
"275","NC997.A1T8","",""
"276","N6510.F34 1990","",""
"276","N6512.F26 1985","",""
"276","N6530.I4S73","",""
"276","N6535.C5C476 2004","",""
"276","N6536.W56 1999","",""
"276","N6538.N5C42","",""
"276","N6538.N5D6 1960","",""
"276","N6538.N5W7 1978","",""
"276","Z5961.C45B69 1991","",""
"278","N6530.I4S73","",""
"278","N6536.W56 1999","",""
"281","F548.37.C48 1989","",""
"281","N6535.C5C467 1989","",""
"281","TR161.N4","",""
"281","TR645.C552A78 2002","",""
"283","N6510.F34 1990","",""
"283","N6536.W56 1999","",""
"283","N6538.J4Y64 1989","",""
"285","N6512.F26 1985","",""
"285","N6530.I4S73","",""
"285","N6536.W56 1999","",""
"285","ND2638.C4G73 2001","",""
"286","N531.A63A5 1993","",""
"287","N6535.C5C45","",""
"287","N8354.C35 2011","",""
"292","N6512.A67 2001","",""
"293","N6512.F26 1985","",""
"293","N6530.I4S73","",""
"293","N6536.W56 1999","",""
"295","N5020.C5C564 1957","",""
"295","N531.U6L6 1987","",""
"295","N6512.F26 1985","",""
"295","N6530.I4A37 1983","",""
"295","N6530.I4S73","",""
"295","N6535.C4C53","",""
"295","N6535.C5C36 1999","",""
"295","N6536.W56 1999","",""
"295","N8838.B4","",""
"295","NC11.C5Y6","",""
"295","ND235.C45N49 1993","",""
"295","ND2638.C4G73 2001","",""
"295","Z5961.C45B59 1991","",""
"298","N6512.F26 1985","",""
"298","N6536.W56 1999","",""
"299","N6530.I4S73","",""
"299","N6536.W56 1999","",""
"299","ND237.B22B8","",""
"299","NK835.I3C726","",""
"301","AM7 .A78 2005","",""
"301","N6512.F26 1985","",""
"301","N6530.I4S73","",""
"301","N6536.W56 1999","",""
"303","N6512.F26 1985","",""
"303","N6530.I4S73","",""
"303","N6536.W56 1999","",""
"304","N6538.N5A438 1987","",""
"304","N6538.N5R66 1986","",""
