Artist_Accession_Number,Article_Citation
"2206","Los Angeles Times 11/11/91, Sec. 5, p1, 7"
"2206","Los Angeles Times 11/8/91, sec. F, p1,22"
"2206","Los Angeles Times 3/15/91 Sec. F, p1"
"2206","Los Angeles Times 6/10/92, Sec. F, p1, 4"
"8049","Los Angeles Times, Dec. 1, 1998"
"7114","Magazine Antiques 6/93, p. 93"
"3199","Metropolis 6/96 p. 33"
"5501","Metropolitan Home 11/86"
"397","Milwaukee Journal (newspaper)"
"2486","Minneapolis Star and Tribune, Jan. 26, 1986, pp. 1G-2G"
"3087","Morton Arboretum Quarterly"
"3303","Negro Digest 11/45"
"3523","New Art Examiner 4/80"
"4745","New Art Examiner v 15 2/88 p. 69"
"8179","New Art Examiner v.15 Summer 88 p.43"
"8179","New Art Examiner v.23 9/95 p.44-45"
"4745","New Art Examiner v24 Jul/Aug 1997 p. 50"
"7556","New Art Examiner  4/80"
"824","New Art Examiner"
"166","New Art Examiner"
"233","New Art Examiner"
"51","New Art Examiner"
"454","New Art Examiner"
"674","New Art Examiner"
"6586","New Art Examiner 1/88 p. 29"
"2900","New Art Examiner 10/87, p. 53"
"3325","New Art Examiner 10/93 pp. 44-45"
"4439","New Art Examiner 11/85 pp. 26-27"
"6860","New Art Examiner 11/87"
"4372","New Art Examiner 12/92 p. 16"
"1430","New Art Examiner 12/92 p.16"
"1809","New Art Examiner 12/92 p16"
"4534","New Art Examiner 12/92 p16"
"3040","New Art Examiner 2/1995"
"3835","New Art Examiner 2/98, p. 48"
"8343","New Art Examiner 3/93"
"2721","New Art Examiner 3/93"
"6320","New Art Examiner 4/80"
"4061","New Art Examiner 4/80"
"4775","New Art Examiner 4/80"
"7271","New Art Examiner 4/80"
"3835","New Art Examiner 4/86, p. 31a"
"6320","New Art Examiner 4/92 p. 35"
"7336","New Art Examiner 5/86 p. 55"
"1256","New Art Examiner 5/97"
"2954","New Art Examiner 6/90"
"3835","New Art Examiner 6/91, p. 44"
"4585","New Art Examiner Jan. 1990"
"3325","New Art Examiner Summer '86 pp. 28-31"
"5496","New Art Examiner Summer '88"
"1076","New Art Examiner, 3/82, p. 14"
"8014","New Art Examiner, Dec. 1992, p. 16"
"7263","New Art Examiner, Nov. 1985"
"333","New Chicago"
"4321","New City 11/18/87, p.?"
"7320","New City 3/28/90"
"2206","New City Oct. 11-17, 1990"
"2206","New York Times 6/5/94 Sec. 2, p1"
"2206","New York Times 9/18/91"
"2206","New York Times 9/18/91 Sec. B, p1"
"8049","New York Times, May 16, 1997"
"1497","New York Times, Oct. 23, 1988, Arts Sect. p. 32"
"183","Newsbank (periodical microfiche)"
"7154","North Shore, Nov. 1986"
"8049","Nouvelle L'Estampe, March-April, 2001"
"5613","New York Public Library Artists File N171-D2"
"875","New York Public Library Artists File"
"7114","New York Public Library Artists File S471/D5"
"7725","New York Public Library Artists File S1110A3"
"7094","New York Public Library Artists File S459, S450"
"7627","New York Public Library Artists File S978/A5, A6"
"6336","New York Times, Arts & Leisure, 10/29/889, p. 37"
"2486","Oak Park News, Sept. 16, 1981, p. 14"
"8476","Chicago Tribune, Obituary, 3/2/86, sec 2, p.7"
"829","Palette & Chisel"
"8343","Panic 8/88"
"3469","Panic 8/88"
"6121","Panic 8/88"
"4698","Parnassus 4:3 Oct. 32"
"4698","Pencil Points 12:238 May '33"
"4698","Pencil Points 19:770 Dec. '38"
"2206","Philadelphia Enquirer Magazine 4/7/91"
"8304","Playboy 2/87, 4/84 (Illus)"
"7534","Post-Tribune, 10/21/73, p. ?"
"6374","Power Life Magazine, v. 26, no. 4, pp. 1-7"
"6568","Prairie Sch Rev Summer '73, pp. 5-24"
