Call_Number,Title,Last_Name,First_Name,Year
"AM7 .A78 2005","Art Walk at Oakton"," William Koehnline Gallery","","2005"
"BV168.F5A5 1967","Banners, Banners, Banners, Etc","Andersen","Robert W.","1968"
"BX2320.5.S6A74","Atlaidai : Lithuanian pilgrimages","Pozerskis","Romualdas","1990"
"Cz X .2112 S62","The Republic building. a historical record prepared by . . .","Skidmore, Owings & Merrill","","1961"
"DK511.L2K48 1985","Lithuania--through the wall : diary of a ten-day visit to my native land","Kezys","Algimantas","1985"
"DS135.F89S66 2014","A song for you","","","2014"
"E184.A1K32 1993","Proudly Red and Black : stories of African and Native Americans","Katz","William Loren","1993"
"E184.E2R69 1991","Asian Indians in Chicago : photographs","Raya","Mukula","1991"
"E184.L7K49 1986","Faces of two worlds : a study in portraits of The Lithuanian immigrant experience : photographs","Kezys","Algimantas","1986"
"E185.53.C4D87 1981","The Birth and Building of the DuSable Museum","Feldman","Eugene Pieter","1981"
"F277.B3M68 1982","Daufuskie Island, a photographic essay","Moutoussamy-Ashe","Jeanne","1982"
"F291.3.C37C64","The search for Jimmy Carter","Collins","Tom","1976"
"F547.I13R36 1998","Prairie passage : the Illinois and Michigan Canal corridor","Ranney","Edward","1998"
"F548.3.C527 2001","Chicago : city in the spotlight","Rapoport","Ron","2001"
"F548.37.C48 1989","Changing Chicago : a photodocumentary","Rosenblum","Naomi","1989"
"F548.37.C56 2006","City 2000: Words and Images About Chicago and Its People","","","2006"
"F548.37.K49 1983","Chicago/Kezys : 64 photographs of Chicago","Kezys","Algimantas","1983"
"F548.37.L42 1983","Fred Leavitt's Chicago : a photographic essay with text","Grossman","Ron","1983"
"F548.37.S52 1988","Nelson Algren's Chicago","Shay","Arthur","1988"
"F548.52.B7","Chicago, I will","Bronstein","Don","1967"
"F548.53.C342 1994","Chicago portraits : a collaborative project that includes a traveling exhibition, billboards, and weekly profiles in the Chicago Sun-Times","Fernandes","Joyce","1994"
"F548.64.G4B3","\"This great triumvirate of patriots\"; the inspiring story behind Lorado  Taft's Chicago monument to George Washington, Robert Morris, and Haym Salomon","Barnard","Harry","1971"
"F548.68.S8K524 2002","South Chicago U. S. A. : a photographic essay","Klekowski","James J.","2002"
"F548.9.N4M55 2000","Chicago's South Side, 1946-1948","Miller","Wayne","2000"
"F550.S8O5","History of the Swedes of Illinois …","Olson","Ernst Wilhelm","1908"
"GT2345.W38 2009","Art By Tattooists: Beyond Flash","Waterhouse","Jo","2009"
"GT4987.55.C47 1992","Christmas in Russia","","","1992"
"GV1311.P5F58 1982","Flip! Flash! : pinball art : an exhibition at the Chicago Public Library Cultural Center, July 31 through October 9, 1982","Paschke","Ed","1982"
"GV1785.P26A36","Page by Page","Page","Ruth","1978"
"GV1785.P26M37","Ruth Page : an intimate biography","Martin","John Joseph","1977"
"GV1785.P26T8","The Art of Ruth Page","Turbyfill","Mark","1931"
"HE8696.A24 1999","Radio : an illustrated guide","","",""
"HF5807.C4C45","Chicago talent sourcebook","","",""
"HS2725.C4T34 1948","The Tavern Club's first (and next) twenty years","","","1948"
"HS2725.C4U76 1987","A Heritage : University Club of Chicago, 1887-1987","Schulze","Franz","1987"
"HV6433.A7B87 2009","Burnt oranges","","","2009"
"LITHUANIAN TR654.K45716","Foto kompozicijos","Kezys","Algimantas","1972"
"LITHUANIAN Z994.L77V46","Lithuanian Bookplates = Lietuviu ekslibriai","Vengris","Vitolis E.","1980"
"ML1711.8.C5L97 1994","Bravi : Lyric Opera of Chicago","Rest","Dan","1994"
"ML3521.F57 2000","Chicago blues as seen from the inside : the photographs of Raeburn Flerlage","Lisa","Day","2000"
"ML3521.G73 1990","Going to Chicago : a year on the Chicago blues scene","Green","Stephen","1990"
"ML3521.S33 2000","Down at Theresa's-- Chicago blues : the photographs of Marc PoKempner","Schorlau","Wolfgang","2000"
"ML87.G84 1996","Really the blues","Green","Stephen","1996"
"MT950.V59T3","Ten Jewish folk dances, a manual for teachers and leaders","Vizonsky","Nathan.","1942"
"N11.A77 1900z","Artists' Guild : paintings, sculpture, etchings, miniatures, jewelry, silver, copper, arts and crafts work by American artists and craft workers","Artists' Guild","","1900"
"N11.C5Y6","Role and impact : the Chicago Society of Artists","Yochim","Louise Dunn","1979"
"N11.N543C5","History of the National Academy of Design, 1825-1953. \
History of the National Academy of Design, 1825-1953","Clark","Eliot Candee","1954"
"N33.P68","Praeger encyclopedia of art","","","1971"
"N394.W65 2001","Women's Caucus for Art honor awards for outstanding achievement in the visual arts : 12th annual exhibition, the National Museum of Women in the Arts","","","2001"
"N40.A78 1986","Artist Biographies Master Index","","","1986"
"N40.D5213 2006","Benezit","","",""
"N4035.N48 1976","Fine art reproductions of old & modern masters : a comprehensive illustrated catalog of art through the ages. \
ety","New York Graphic Society","","1976"
"N4035.N48 1978","Fine art reproductions of old & modern masters : a comprehensive illustrated catalog of art through the ages","Neew York Graphic Society","","1978"
"N43.P47 1985","Dictionary of women artists : an international dictionary of women artists born before 1900","Petteys","Chris","1985"
"N43.S57 1985","Women artists in history : from antiquity to the 20th century","Slatkin","Wendy","1985"
"N43.T93","Our hidden heritage: five centuries of women artists","Tufts","Eleanor","1974"
"N43.W3 1974","Women in the fine arts, from the seventh century B.C. to the twentieth century A.D.","Waters","Clara Erskine Clement","1974"
"N5020.C47N36 1980","Touch me","Frueh","Joanna","1980"
"N5020.C48C37 1980z","Carole Harmel, photographs, Arthur Lerner, paintings, Klaus Steinbrenner, sculpture","Galerija","","1980"
"N5020.C55","Artists of Chicago and vicinity : ... annual exhibition","Art Institute of Chicago","",""
"N5020.C55 yr. 1938 v. 42","Artists of Chicago and vicinity : ... annual exhibition","Art Institute of Chicago","","1938"
"N5020.C55 yr. 1942 v. 46","Artists of Chicago and vicinity : ... annual exhibition","Art Institute of Chicago","","1942"
"N5020.C55 yr. 1973 v. 74","Artists of Chicago and vicinity : … annual exhibition","Art Institute of Chicago","","1973"
"N5020.C55 yr. 1974/75 v. 75","Artists of Chicago and vicinity : ... annual exhibition","Art Institute of Chicago","","1974"
"N5020.C57N67 1992","Masters as motif : November 8th-December 5th","","","1992"
"N5020.C5C563 1987","Urgent Messages","","","1987"
"N5020.C5C564 1957","1957 Chicago Artists No-Jury Exhibition, from February l2 through February 26, 1957","Chicago Artists No Jury Exhibition","","1957"
"N5020.C5C565 1980","Chicago art prospective, June 5-29, 1980 : June nights at Navy Pier","Chicago (Ill.) Mayor's Office of Special Events","","1980"
"N5020.C5K65 2005","Crossings : 10 artists from Chicago & Kaohsiung","Knight","Gregory","2005"
"N5020.C5L36 1991","\"Artist of the day\" : [exhibition, July 16-20, 1991]","","","1991"
"N5020.R33R33 2011","Racine and Vicinity Show: All Media Juried Competition","","","2011"
"N5020.S53A15 1982","1982 biennial national exhibition, October 24 - November 28, 1982","Shreveport Art Guild","","1982"
"N5085.T6V65 2005","Voice of Site, Tokyo - Chicago - New York","","","2005"
"N5216.I32C43","Masterpieces : Famous Chicagoans and their Paintings","Erens","Patricia","1979"
"N5216.I32C48 1984","Alternative spaces : a history in Chicago : Museum of Contemporary Art, June 23-August 19, 1984","Warren","Lynne","1984"
"N5220.C45C44 1974","The Art Collection of the First National Bank of Chicago","First National Bank of Chicago","","1974"
"N5220.F76F75 2002","The Friedman collection : artists of Chicago","","","2002"
"N5220.S26S26 1988","Corporate Art Collection","Sandoz Crop Protection Corporation","","1988"
"N528.A3","Jno Cook : radically recycled cameras, March 14-April 22, 1990","Cook","Jno","1990"
"N531.A63A5 1993","XX : twentieth anniversary, 1973-1993 : Artemisia Gallery","Artemisia Gallery","","1993"
"N531.F29A4 1989","Filling in the gap","Ostrow","Saul","1989"
"N531.H93H57 1976","History of the Hyde Park Art Center, 1939-1976","Shaw","Goldene","1992"
"N531.M78A5 1992","Divining sapphire & crystals : an exhibition of contemporary art by African American women artist, February 7-19, 1992","","","1992"
"N531.U55F76 2004","From Our Own Backyard: Resident Artists of Union Street Gallery","","","2004"
"N531.U6A8 1934","Paintings and other works of art","Union League Club of Chicago","","1934"
"N531.U6L6 1987","One hundred years, 1887-1987 : catalog of the collection, Union League Club of Chicago","Loy","Dennis J.","1987"
"N6435.C5C485 1987","The first centennial exhibition of the Chicago Society of Artists","Chicago Society of Artists","","1987"
"N6438.H58L37 1990z","Latino expressions : an exhibit of paintings and scultures by Illinois Hispanic artists","Latino Arts Coalition","","1990"
"N6486.A73 2003","ARC: 30th Anniversary 1973-2003","","","2003"
"N6486.C66 1993","Contemporary artists, small format : June 22 to July 15, 1993","","","1993"
